,Model,No_arctic_crossing_year,World_crossing_year,gap
0,ACCESS-CM2,2044.093,2039.697,4.3960000000001855
1,ACCESS-ESM1-5,2050.035,2047.952,2.0829999999998563
2,AWI-CM-1-1-MR,2051.626,2048.582,3.044000000000324
3,BCC-CSM2-MR,2043.247,2039.482,3.7650000000001
4,CAMS-CSM1-0,2051.339,2046.031,5.307999999999993
5,CAS-ESM2-0,2045.146,2042.216,2.9300000000000637
6,CESM2,2047.866,2045.457,2.408999999999878
7,CESM2-WACCM,2051.784,2047.513,4.2710000000001855
8,CMCC-CM2-SR5,2052.141,2048.04,4.101000000000113
9,CMCC-ESM2,2044.968,2040.293,4.675000000000182
10,CNRM-CM6-1,2046.47,2043.012,3.4580000000000837
11,CNRM-CM6-1-HR,2050.411,2046.671,3.740000000000009
12,CNRM-ESM2-1,2043.459,2042.937,0.5220000000001619
13,CanESM5,2047.433,2044.109,3.324000000000069
14,CanESM5-CanOE,2053.7,2049.032,4.667999999999665
15,EC-Earth3,2053.931,2050.687,3.244000000000142
16,EC-Earth3-AerChem,2042.831,2039.854,2.9769999999998618
17,EC-Earth3-Veg,2061.295,2056.918,4.376999999999953
18,EC-Earth3-Veg-LR,2054.238,2051.772,2.4659999999998945
19,FGOALS-f3-L,2055.044,2049.475,5.56899999999996
20,FGOALS-g3,2061.036,2051.504,9.532000000000153
21,GFDL-ESM4,2054.099,2047.495,6.604000000000269
22,GISS-E2-1-G,2045.506,2042.334,3.1720000000000255
23,INM-CM4-8,2049.634,2045.953,3.68100000000004
24,INM-CM5-0,2046.692,2042.666,4.026000000000067
25,IPSL-CM5A2-INCA,2063.334,2057.94,5.393999999999778
26,IPSL-CM6A-LR,2048.53,2044.973,3.5570000000002437
27,KACE-1-0-G,2049.076,2041.958,7.117999999999938
28,MCM-UA-1-0,2061.765,2056.126,5.638999999999669
29,MIROC-ES2L,2049.378,2044.286,5.092000000000098
30,MIROC6,2048.11,2045.407,2.703000000000202
31,MPI-ESM1-2-HR,2053.993,2050.771,3.2219999999997526
32,MPI-ESM1-2-LR,2051.271,2046.866,4.4050000000002
33,MRI-ESM2-0,2048.81,2044.456,4.354000000000042
34,NorESM2-LM,2057.132,2053.593,3.5390000000002146
35,NorESM2-MM,2049.133,2045.878,3.2549999999998818
36,TaiESM1,2040.17,2037.523,2.647000000000162
37,UKESM1-0-LL,2037.647,2033.52,4.126999999999953
38,UKESM1-1-LL,2043.861,2040.492,3.369000000000142
